index,result,time,clearMessage,weapon,aspect,keepsake,companion,trait (sub-traits),heatPoints,heat (sub-heat),trait 1 name,trait 1 level,trait 2 name,trait 2 level,trait 3 name,trait 3 level,trait 4 name,trait 4 level,trait 5 name,trait 5 level,trait 6 name,trait 6 level,trait 7 name,trait 7 level,trait 8 name,trait 8 level,trait 9 name,trait 9 level,trait 10 name,trait 10 level,trait 11 name,trait 11 level,trait 12 name,trait 12 level,trait 13 name,trait 13 level,trait 14 name,trait 14 level,trait 15 name,trait 15 level,trait 16 name,trait 16 level,trait 17 name,trait 17 level,trait 18 name,trait 18 level,trait 19 name,trait 19 level,trait 20 name,trait 20 level,trait 21 name,trait 21 level,trait 22 name,trait 22 level,trait 23 name,trait 23 level,trait 24 name,trait 24 level,trait 25 name,trait 25 level,trait 26 name,trait 26 level,trait 27 name,trait 27 level,trait 28 name,trait 28 level,trait 29 name,trait 29 level,trait 30 name,trait 30 level,trait 31 name,trait 31 level
23,RunHistoryScreenResult_B_MiniBoss02,13:00.13,,ShieldWeapon,ShieldRushBonusProjectileTrait,ForcePoseidonBoonTrait,,"DionysusSecondaryTrait (Level 1), HermesWeaponTrait (Level 1), OnEnemyDeathDamageInstanceBuffTrait (Level 1), DionysusRushTrait (Level 5), UnusedWeaponBonusTrait (Level 1), PoseidonRangedTrait (Level 1), AresRetaliateTrait (Level 1), ShieldPerfectRushTrait (Level 1), ShieldRushBonusProjectileTrait (Level 1), DirectionalArmorTrait (Level 1), PoseidonWeaponTrait (Level 1), ForcePoseidonBoonTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 30), HealthMetaUpgrade_ShortTotalNoIcon (Level 50)",DionysusSecondaryTrait,Level 1,HermesWeaponTrait,Level 1,OnEnemyDeathDamageInstanceBuffTrait,Level 1,DionysusRushTrait,Level 5,UnusedWeaponBonusTrait,Level 1,PoseidonRangedTrait,Level 1,AresRetaliateTrait,Level 1,ShieldPerfectRushTrait,Level 1,ShieldRushBonusProjectileTrait,Level 1,DirectionalArmorTrait,Level 1,PoseidonWeaponTrait,Level 1,ForcePoseidonBoonTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,RunHistoryScreenResult_C_Boss01,35:54.14,,BowWeapon,,DistanceDamageTrait,,"ArtemisWeaponTrait (Level 2), ForceArtemisBoonTrait (Level 1), DistanceDamageTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), AthenaShieldTrait (Level 2), BowSecondaryFocusedFireTrait (Level 1), DionysusSecondaryTrait (Level 1), ChaosBlessingSecondaryTrait (Level 1), DionysusRushTrait (Level 2), AphroditeRetaliateTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), BowChainShotTrait (Level 1), AthenaRetaliateTrait (Level 1), SlowProjectileTrait (Level 1), AphroditeRangedTrait (Level 1), HermesSecondaryTrait (Level 1), PreloadSuperGenerationTrait (Level 1), AthenaShoutTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 60), HealthMetaUpgrade_ShortTotalNoIcon (Level 50)",ArtemisWeaponTrait,Level 2,ForceArtemisBoonTrait,Level 1,DistanceDamageTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,AthenaShieldTrait,Level 2,BowSecondaryFocusedFireTrait,Level 1,DionysusSecondaryTrait,Level 1,ChaosBlessingSecondaryTrait,Level 1,DionysusRushTrait,Level 2,AphroditeRetaliateTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,BowChainShotTrait,Level 1,AthenaRetaliateTrait,Level 1,SlowProjectileTrait,Level 1,AphroditeRangedTrait,Level 1,HermesSecondaryTrait,Level 1,PreloadSuperGenerationTrait,Level 1,AthenaShoutTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,
25,RunHistoryScreenResult_C_Boss01,34:48.27,,ShieldWeapon,ShieldRushBonusProjectileTrait,ReincarnationTrait,,"ShieldRushBonusProjectileTrait (Level 1), ShieldThrowEmpowerTrait (Level 1), OnEnemyDeathDamageInstanceBuffTrait (Level 2), ShieldThrowRushTrait (Level 1), AresDragTrait (Level 1), SlowProjectileTrait (Level 1), UnusedWeaponBonusTrait (Level 1), ZeusSecondaryTrait (Level 1), ZeusLightningDebuff (Level 2), HermesWeaponTrait (Level 1), AthenaWeaponTrait (Level 2), ZeusBonusBoltTrait (Level 1), ReincarnationTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), AresRushTrait (Level 1), ZeusRangedTrait (Level 1), DionysusShoutTrait (Level 1), BonusDashTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 80), HealthMetaUpgrade_ShortTotalNoIcon (Level 50)",ShieldRushBonusProjectileTrait,Level 1,ShieldThrowEmpowerTrait,Level 1,OnEnemyDeathDamageInstanceBuffTrait,Level 2,ShieldThrowRushTrait,Level 1,AresDragTrait,Level 1,SlowProjectileTrait,Level 1,UnusedWeaponBonusTrait,Level 1,ZeusSecondaryTrait,Level 1,ZeusLightningDebuff,Level 2,HermesWeaponTrait,Level 1,AthenaWeaponTrait,Level 2,ZeusBonusBoltTrait,Level 1,ReincarnationTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,AresRushTrait,Level 1,ZeusRangedTrait,Level 1,DionysusShoutTrait,Level 1,BonusDashTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,
26,RunHistoryScreenResult_C_Boss01,33:34.85,,BowWeapon,,ReincarnationTrait,,"ArtemisWeaponTrait (Level 4), BackstabAlphaStrikeTrait (Level 1), CriticalSuperGenerationTrait (Level 1), ChamberGoldTrait (Level 1), MoveSpeedTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), UnusedWeaponBonusTrait (Level 1), PoseidonSecondaryTrait (Level 1), ChaosBlessingSecondaryTrait (Level 1), BowSlowChargeDamageTrait (Level 1), TemporaryBoonRarityTrait (Level 2), ZeusShoutTrait (Level 2), AresRushTrait (Level 1), EncounterStartOffenseBuffTrait (Level 1), ReincarnationTrait (Level 1), CritVulnerabilityTrait (Level 3), BowTripleShotTrait (Level 1), LastStandDamageBonusTrait (Level 1), TemporaryWeaponLifeOnKillTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50)",ArtemisWeaponTrait,Level 4,BackstabAlphaStrikeTrait,Level 1,CriticalSuperGenerationTrait,Level 1,ChamberGoldTrait,Level 1,MoveSpeedTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,UnusedWeaponBonusTrait,Level 1,PoseidonSecondaryTrait,Level 1,ChaosBlessingSecondaryTrait,Level 1,BowSlowChargeDamageTrait,Level 1,TemporaryBoonRarityTrait,Level 2,ZeusShoutTrait,Level 2,AresRushTrait,Level 1,EncounterStartOffenseBuffTrait,Level 1,ReincarnationTrait,Level 1,CritVulnerabilityTrait,Level 3,BowTripleShotTrait,Level 1,LastStandDamageBonusTrait,Level 1,TemporaryWeaponLifeOnKillTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,
27,RunHistoryScreenResult_A_Boss01,07:34.00,,SwordWeapon,SwordBaseUpgradeTrait,BackstabAlphaStrikeTrait,,"ArtemisSecondaryTrait (Level 1), RoomRewardMaxHealthTrait (Level 2), BackstabAlphaStrikeTrait (Level 1), UnusedWeaponBonusTrait (Level 1), AphroditeRangedTrait (Level 2), ArtemisShoutTrait (Level 1), SwordBaseUpgradeTrait (Level 1), SwordTwoComboTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 1)",ArtemisSecondaryTrait,Level 1,RoomRewardMaxHealthTrait,Level 2,BackstabAlphaStrikeTrait,Level 1,UnusedWeaponBonusTrait,Level 1,AphroditeRangedTrait,Level 2,ArtemisShoutTrait,Level 1,SwordBaseUpgradeTrait,Level 1,SwordTwoComboTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,RunHistoryScreenResult_B_MiniBoss01,08:38.67,,ShieldWeapon,ShieldRushBonusProjectileTrait,ForceAresBoonTrait,,"ForceAresBoonTrait (Level 1), BackstabAlphaStrikeTrait (Level 1), AresSecondaryTrait (Level 2), ChaosBlessingMeleeTrait (Level 1), TemporaryBackstabTrait (Level 1), RoomRewardMaxHealthTrait (Level 1), AresLoadCurseTrait (Level 1), ChaosCurseDamageTrait (Level 1), UnusedWeaponBonusTrait (Level 1), ShieldPerfectRushTrait (Level 1), ShieldRushBonusProjectileTrait (Level 1), SuperTemporaryBoonRarityTrait (Level 1), AresWeaponTrait (Level 1), BonusDashTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 2)",ForceAresBoonTrait,Level 1,BackstabAlphaStrikeTrait,Level 1,AresSecondaryTrait,Level 2,ChaosBlessingMeleeTrait,Level 1,TemporaryBackstabTrait,Level 1,RoomRewardMaxHealthTrait,Level 1,AresLoadCurseTrait,Level 1,ChaosCurseDamageTrait,Level 1,UnusedWeaponBonusTrait,Level 1,ShieldPerfectRushTrait,Level 1,ShieldRushBonusProjectileTrait,Level 1,SuperTemporaryBoonRarityTrait,Level 1,AresWeaponTrait,Level 1,BonusDashTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,RunHistoryScreenResult_C_Boss01,32:27.98,,FistWeapon,,MaxHealthKeepsakeTrait,,"HealthRewardBonusTrait (Level 1), FistDashAttackHealthBufferTrait (Level 1), FistDoubleDashSpecialTrait (Level 1), PerfectDashBoltTrait (Level 1), LastStandHealTrait (Level 1), OnWrathDamageBuffTrait (Level 2), UnusedWeaponBonusTrait (Level 1), ZeusSecondaryTrait (Level 1), ZeusLightningDebuff (Level 1), HermesWeaponTrait (Level 1), AthenaWeaponTrait (Level 2), PoseidonRushTrait (Level 2), LifeOnUrnTrait (Level 1), SuperGenerationTrait (Level 1), RoomRewardMaxHealthTrait (Level 3), AphroditeShoutTrait (Level 1), MaxHealthKeepsakeTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 3)",HealthRewardBonusTrait,Level 1,FistDashAttackHealthBufferTrait,Level 1,FistDoubleDashSpecialTrait,Level 1,PerfectDashBoltTrait,Level 1,LastStandHealTrait,Level 1,OnWrathDamageBuffTrait,Level 2,UnusedWeaponBonusTrait,Level 1,ZeusSecondaryTrait,Level 1,ZeusLightningDebuff,Level 1,HermesWeaponTrait,Level 1,AthenaWeaponTrait,Level 2,PoseidonRushTrait,Level 2,LifeOnUrnTrait,Level 1,SuperGenerationTrait,Level 1,RoomRewardMaxHealthTrait,Level 3,AphroditeShoutTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,RunHistoryScreenResult_C_Boss01,25:42.37,,SpearWeapon,SpearWeaveTrait,DistanceDamageTrait,,"OnEnemyDeathDamageInstanceBuffTrait (Level 2), SlipperyTrait (Level 1), DistanceDamageTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), UnusedWeaponBonusTrait (Level 1), PoseidonWeaponTrait (Level 2), DionysusSecondaryTrait (Level 1), SpearThrowPenetrate (Level 1), DionysusRushTrait (Level 2), PoseidonPickedUpMinorLootTrait (Level 1), SlamExplosionTrait (Level 1), TemporaryDoorHealTrait_Patroclus (Level 1), SpearWeaveTrait (Level 1), SpearThrowBounce (Level 1), HermesSecondaryTrait (Level 1), ZeusRangedTrait (Level 2), ZeusBonusBounceTrait (Level 1), BonusDashTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 5)",OnEnemyDeathDamageInstanceBuffTrait,Level 2,SlipperyTrait,Level 1,DistanceDamageTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,UnusedWeaponBonusTrait,Level 1,PoseidonWeaponTrait,Level 2,DionysusSecondaryTrait,Level 1,SpearThrowPenetrate,Level 1,DionysusRushTrait,Level 2,PoseidonPickedUpMinorLootTrait,Level 1,SlamExplosionTrait,Level 1,TemporaryDoorHealTrait_Patroclus,Level 1,SpearWeaveTrait,Level 1,SpearThrowBounce,Level 1,HermesSecondaryTrait,Level 1,ZeusRangedTrait,Level 2,ZeusBonusBounceTrait,Level 1,BonusDashTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,
31,RunHistoryScreenResult_C_Boss01,30:56.73,,GunWeapon,,DistanceDamageTrait,,"ArtemisSecondaryTrait (Level 4), DionysusRushTrait (Level 2), ArtemisAmmoExitTrait (Level 1), GunMinigunTrait (Level 1), ArtemisSupportingFireTrait (Level 1), PoseidonWeaponTrait (Level 1), PoseidonShoutTrait (Level 2), DistanceDamageTrait (Level 1), RoomRewardMaxHealthTrait (Level 3), AphroditeRangedTrait (Level 1), DionysusSpreadTrait (Level 1), DionysusAphroditeStackIncreaseTrait (Level 1), BonusDashTrait (Level 1), GunGrenadeFastTrait (Level 1), TemporaryWeaponLifeOnKillTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 10)",ArtemisSecondaryTrait,Level 4,DionysusRushTrait,Level 2,ArtemisAmmoExitTrait,Level 1,GunMinigunTrait,Level 1,ArtemisSupportingFireTrait,Level 1,PoseidonWeaponTrait,Level 1,PoseidonShoutTrait,Level 2,DistanceDamageTrait,Level 1,RoomRewardMaxHealthTrait,Level 3,AphroditeRangedTrait,Level 1,DionysusSpreadTrait,Level 1,DionysusAphroditeStackIncreaseTrait,Level 1,BonusDashTrait,Level 1,GunGrenadeFastTrait,Level 1,TemporaryWeaponLifeOnKillTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,RunHistoryScreenResult_D_Boss01,40:27.13,,FistWeapon,,MaxHealthKeepsakeTrait,,"AresShoutTrait (Level 3), DoorHealTrait (Level 1), ChamberGoldTrait (Level 1), SlipperyTrait (Level 1), DistanceDamageTrait (Level 1), PoseidonRangedTrait (Level 1), SlowProjectileTrait (Level 1), UnusedWeaponBonusTrait (Level 1), AthenaBackstabDebuffTrait (Level 1), DionysusSecondaryTrait (Level 2), RaritySuperBoost (Level 1), FistReachAttackTrait (Level 1), AthenaShieldTrait (Level 3), PoseidonRushTrait (Level 1), RoomRewardMaxHealthTrait (Level 6), DionysusPoisonPowerTrait (Level 1), MaxHealthKeepsakeTrait (Level 1), ShieldAfterHitTrait (Level 1), FistKillTrait (Level 1), DionysusSpreadTrait (Level 1), AthenaWeaponTrait (Level 3), RoomRewardEmptyMaxHealthTrait (Level 1), LowHealthDefenseTrait (Level 1), HermesSecondaryTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 11)",AresShoutTrait,Level 3,DoorHealTrait,Level 1,ChamberGoldTrait,Level 1,SlipperyTrait,Level 1,DistanceDamageTrait,Level 1,PoseidonRangedTrait,Level 1,SlowProjectileTrait,Level 1,UnusedWeaponBonusTrait,Level 1,AthenaBackstabDebuffTrait,Level 1,DionysusSecondaryTrait,Level 2,RaritySuperBoost,Level 1,FistReachAttackTrait,Level 1,AthenaShieldTrait,Level 3,PoseidonRushTrait,Level 1,RoomRewardMaxHealthTrait,Level 6,DionysusPoisonPowerTrait,Level 1,MaxHealthKeepsakeTrait,Level 1,ShieldAfterHitTrait,Level 1,FistKillTrait,Level 1,DionysusSpreadTrait,Level 1,AthenaWeaponTrait,Level 3,RoomRewardEmptyMaxHealthTrait,Level 1,LowHealthDefenseTrait,Level 1,HermesSecondaryTrait,Level 1,,,,,,,,,,,,,,
33,RunHistoryScreenResult_C_Boss01,34:48.32,,GunWeapon,GunBaseUpgradeTrait,DistanceDamageTrait,,"DemeterRangedTrait (Level 4), ZeroAmmoBonusTrait (Level 1), ChamberGoldTrait (Level 1), DistanceDamageTrait (Level 1), RoomRewardMaxHealthTrait (Level 5), UnusedWeaponBonusTrait (Level 1), GunBaseUpgradeTrait (Level 1), HermesWeaponTrait (Level 1), AphroditeRetaliateTrait (Level 1), DemeterWeaponTrait (Level 1), GunGrenadeDropTrait (Level 1), DionysusRushTrait (Level 1), LastStandDamageBonusTrait (Level 1), SelfLaserTrait (Level 1), HealingPotencyTrait (Level 1), AphroditeSecondaryTrait (Level 1), GunArmorPenerationTrait (Level 1), DemeterShoutTrait (Level 1), FountainDamageBonusTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 2), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 16)",DemeterRangedTrait,Level 4,ZeroAmmoBonusTrait,Level 1,ChamberGoldTrait,Level 1,DistanceDamageTrait,Level 1,RoomRewardMaxHealthTrait,Level 5,UnusedWeaponBonusTrait,Level 1,GunBaseUpgradeTrait,Level 1,HermesWeaponTrait,Level 1,AphroditeRetaliateTrait,Level 1,DemeterWeaponTrait,Level 1,GunGrenadeDropTrait,Level 1,DionysusRushTrait,Level 1,LastStandDamageBonusTrait,Level 1,SelfLaserTrait,Level 1,HealingPotencyTrait,Level 1,AphroditeSecondaryTrait,Level 1,GunArmorPenerationTrait,Level 1,DemeterShoutTrait,Level 1,FountainDamageBonusTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,
34,RunHistoryScreenResult_C_Boss01,35:52.89,,SwordWeapon,SwordBaseUpgradeTrait,ShieldAfterHitTrait,,"FishingTrait (Level 1), HealthRewardBonusTrait (Level 1), DemeterRushTrait (Level 2), SwordBaseUpgradeTrait (Level 1), DemeterSecondaryTrait (Level 1), DistanceDamageTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), UnusedWeaponBonusTrait (Level 1), ForceDemeterBoonTrait (Level 1), HermesWeaponTrait (Level 1), SwordBlinkTrait (Level 1), SwordBackstabTrait (Level 1), EncounterStartOffenseBuffTrait (Level 2), RetaliateWeaponTrait (Level 1), DemeterRangedTrait (Level 1), ShieldAfterHitTrait (Level 1), AphroditeDeathTrait (Level 1), RoomRewardEmptyMaxHealthTrait (Level 1), TemporaryMoreAmmoTrait (Level 1), BonusDashTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 3), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 2)",FishingTrait,Level 1,HealthRewardBonusTrait,Level 1,DemeterRushTrait,Level 2,SwordBaseUpgradeTrait,Level 1,DemeterSecondaryTrait,Level 1,DistanceDamageTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,UnusedWeaponBonusTrait,Level 1,ForceDemeterBoonTrait,Level 1,HermesWeaponTrait,Level 1,SwordBlinkTrait,Level 1,SwordBackstabTrait,Level 1,EncounterStartOffenseBuffTrait,Level 2,RetaliateWeaponTrait,Level 1,DemeterRangedTrait,Level 1,ShieldAfterHitTrait,Level 1,AphroditeDeathTrait,Level 1,RoomRewardEmptyMaxHealthTrait,Level 1,TemporaryMoreAmmoTrait,Level 1,BonusDashTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,
35,RunHistoryScreenResult_D_Boss01,44:29.25,,GunWeapon,GunBaseUpgradeTrait,ShieldAfterHitTrait,,"DemeterRetaliateTrait (Level 2), DemeterRangedTrait (Level 1), DemeterRushTrait (Level 3), DemeterSecondaryTrait (Level 2), IncreasedDamageTrait (Level 1), RoomRewardMaxHealthTrait (Level 4), UnusedWeaponBonusTrait (Level 1), GunBaseUpgradeTrait (Level 1), RushSpeedBoostTrait (Level 1), MaximumChillBlast (Level 1), PoseidonShoutTrait (Level 1), LastStandDamageBonusTrait (Level 1), EnemyDamageTrait (Level 1), AthenaRetaliateTrait (Level 1), ShieldAfterHitTrait (Level 1), ChaosBlessingRangedTrait (Level 1), GunGrenadeFastTrait (Level 1), PreloadSuperGenerationTrait (Level 1), GunExplodingSecondaryTrait (Level 1)",0,"BackstabMetaUpgrade_ShortTotal (Level 50), DarknessHealMetaUpgrade_ShortTotalNoIcon (Level 60), ExtraChanceMetaUpgrade_ShortTotalNoIcon (Level 3), PerfectDashMetaUpgrade_On (Level 50), StoredAmmoVulnerabilityMetaUpgrade_ShortTotal (Level 50), ReloadAmmoMetaUpgrade_ShortTotalNoIcon (Level 3), MoneyMetaUpgrade_ShortTotalNoIcon (Level 100), HealthMetaUpgrade_ShortTotalNoIcon (Level 50), GodEnhancementMetaUpgrade_ShortTotalNoIcon (Level 5), RareBoonDropMetaUpgrade_ShortTotal (Level 6)",DemeterRetaliateTrait,Level 2,DemeterRangedTrait,Level 1,DemeterRushTrait,Level 3,DemeterSecondaryTrait,Level 2,IncreasedDamageTrait,Level 1,RoomRewardMaxHealthTrait,Level 4,UnusedWeaponBonusTrait,Level 1,GunBaseUpgradeTrait,Level 1,RushSpeedBoostTrait,Level 1,MaximumChillBlast,Level 1,PoseidonShoutTrait,Level 1,LastStandDamageBonusTrait,Level 1,EnemyDamageTrait,Level 1,AthenaRetaliateTrait,Level 1,ShieldAfterHitTrait,Level 1,ChaosBlessingRangedTrait,Level 1,GunGrenadeFastTrait,Level 1,PreloadSuperGenerationTrait,Level 1,GunExplodingSecondaryTrait,Level 1,,,,,,,,,,,,,,,,,,,,,,,,
